problem,difficulty
Stepping Stones Game,Medium
Shashank and List,Medium
Triangle Numbers,Medium
Little Gaurav and Sequence,Medium
Easy sum,Hard
Difference and Product,Easy
Pythagorean Triple,Easy
Pairwise Sum and Divide,Hard
Tell the Average,Medium
Game Of Rotation,Medium
Hackonacci Matrix Rotations,Medium
Power Calculation,Advanced
Wet Shark and 42,Easy
Sherlock and Square,Hard
Birthday Triplets,Medium
Sherlock and Queries,Advanced
Manasa and Sub-sequences ,Medium
Count Solutions,Medium
Summing the K-N series ,Advanced
XOR love,Hard
Manasa and Calculations ,Medium
Simple One,Easy
Circle Summation,Advanced
Girlfriend & Necklace,Hard
Manasa and Pizza,Medium
Signal Tower,Advanced
Summing the K-N-R Series ,Advanced
Emma and sum of products,Hard
Fun With Series,Advanced
Permutation Equations,Medium
Introduction to Algebra,Medium
Cross Matrix,Medium
Introduction to Algebra 2,Advanced
The Black Box,Advanced
Black Hole,Hard
