problem,difficulty
Lonely Integer,Easy
Maximizing XOR,Easy
Counter game,Medium
Xor-sequence,Medium
Sum vs XOR,Easy
The Great XOR,Medium
Flipping bits,Easy
Yet Another Minimax Problem,Medium
Sansa and XOR,Medium
AND Product,Medium
Xoring Ninja,Hard
Cipher,Medium
XOR Matrix,Hard
What's Next?,Medium
String Transmission,Hard
A or B,Medium
Manipulative Numbers,Hard
Stone game,Hard
2's complement,Advanced
Changing Bits,Advanced
XOR key,Advanced
Maximizing the Function ,Hard
XOR Subsequences,Advanced
Mixing proteins,Hard
