problem,difficulty
The Coin Change Problem,Hard
Equal,Medium
Sherlock and Cost,Medium
Kingdom Division,Medium
Candies,Medium
Sam and sub-strings,Medium
Fibonacci Modified,Medium
Abbreviation,Medium
Prime XOR,Medium
Decibinary Numbers,Hard
Fair Cut,Medium
The Maximum Subarray,Medium
Angry Children 2,Hard
Sherlock's Array Merging Algorithm,Hard
Prime Digit Sums,Medium
HackerRank City,Medium
Summing Pieces,Medium
Mr K marsh,Medium
Substring Diff,Medium
Xor and Sum,Medium
Lego Blocks,Medium
Brick Tiling,Hard
Alien Languages,Hard
Stock Maximize,Medium
Two Robots,Medium
Cut Tree,Medium
Tara's Beautiful Permutations,Hard
Wet Shark and Two Subsequences,Medium
Nikita and the Game,Medium
Choosing White Balls,Hard
Mandragora Forest,Medium
Red John is Back,Medium
LCS Returns,Medium
Grid Walking,Medium
Knapsack,Medium
Bricks Game,Medium
The Longest Increasing Subsequence,Advanced
Coin on the Table,Medium
The Longest Common Subsequence,Medium
Play with words,Medium
Black and White Tree,Hard
Counting Special Sub-Cubes,Medium
Interval Selection,Medium
String Reduction,Hard
Far Vertices,Hard
Superman Celebrates Diwali ,Hard
Hexagonal Grid,Hard
Queens on Board,Hard
Shashank and the Palindromic Strings,Advanced
Points in a Plane,Advanced
Turn Off the Lights,Hard
The Indian Job,Medium
Requirement,Advanced
A Super Hero,Hard
Clues on a Binary Path,Hard
Road Maintenance,Hard
Billboards,Advanced
Beautiful Strings,Hard
Covering the stains,Hard
GCD Matrix,Hard
Fairy Chess,Advanced
New Year Present,Hard
Travel around the world,Medium
Longest Palindromic Subsequence,Hard
Candles Counting,Medium
Hyper Strings,Advanced
Swap Permutation,Medium
Extremum Permutations,Medium
Square Subsequences,Hard
Dorsey Thief,Advanced
Mining,Advanced
Police Operation,Hard
Zurikela's Graph,Hard
Modify The Sequence,Advanced
Longest Mod Path,Hard
P-sequences,Hard
Robot,Advanced
Unfair Game,Advanced
Oil Well,Hard
Find the Seed,Advanced
The Blacklist,Advanced
Tree Pruning,Advanced
Ones and Twos,Hard
Vim War,Advanced
Best spot,Advanced
Unique Divide And Conquer       ,Advanced
Dortmund Dilemma,Advanced
Super Kth LIS,Advanced
