problem,difficulty
Game of Stones,Easy
Tower Breakers ,Easy
A Chessboard Game,Easy
Introduction to Nim Game,Easy
Mis¨¨re Nim,Easy
Nimble Game,Easy
Alice and Bob's Silly Game,Medium
Poker Nim,Easy
Tower Breakers, Revisited!,Medium
Tower Breakers, Again!,Medium
Zero-Move Nim,Medium
Chessboard Game, Again!,Medium
Digits Square Board,Medium
Fun Game,Medium
Stone Division,Hard
Chocolate in Box,Medium
Kitty and Katty,Medium
Powers Game,Medium
Deforestation,Medium
Bob and Ben,Medium
Tower Breakers - The Final Battle,Medium
Simple Game,Hard
Permutation game,Medium
Move the Coins,Hard
Play on benders,Medium
New Year Game,Medium
Stone Piles,Hard
Chocolate Game,Hard
Manasa and Prime game ,Hard
Vertical Rooks,Medium
A stones game,Medium
