problem,difficulty
Minimum Absolute Difference in an Array,Easy
Marc's Cakewalk,Easy
Grid Challenge,Easy
Luck Balance,Easy
Maximum Perimeter Triangle,Easy
Beautiful Pairs,Easy
Sherlock and The Beast,Easy
Priyanka and Toys,Easy
Largest Permutation,Easy
Mark and Toys,Easy
Greedy Florist,Medium
Max Min,Medium
Jim and the Orders,Easy
Permuting Two Arrays,Easy
Cutting Boards,Hard
Reverse Shuffle Merge,Advanced
Goodland Electricity,Medium
Chief Hopper,Hard
Sherlock and MiniMax,Hard
Accessory Collection,Hard
Team Formation,Advanced
Fighting Pits,Hard
