problem,difficulty
Grading Students,Easy
Apple and Orange,Easy
Kangaroo,Easy
Between Two Sets,Easy
Breaking the Records,Easy
Birthday Chocolate,Easy
Divisible Sum Pairs,Easy
Migratory Birds,Easy
Day of the Programmer,Easy
Bon App¨¦tit,Easy
Sock Merchant,Easy
Drawing Book ,Easy
Counting Valleys,Easy
Electronics Shop,Easy
Cats and a Mouse,Easy
Forming a Magic Square,Easy
Picking Numbers,Easy
Climbing the Leaderboard,Easy
The Hurdle Race,Easy
Designer PDF Viewer,Easy
Utopian Tree,Easy
Angry Professor,Easy
Beautiful Days at the Movies,Easy
Viral Advertising,Easy
Save the Prisoner!,Easy
Circular Array Rotation,Easy
Sequence Equation,Easy
Jumping on the Clouds: Revisited,Easy
Find Digits,Easy
Extra Long Factorials,Medium
Append and Delete,Easy
Sherlock and Squares,Easy
Library Fine,Easy
Cut the sticks,Easy
Non-Divisible Subset,Medium
Repeated String,Easy
Jumping on the Clouds,Easy
Equalize the Array,Easy
Queen's Attack II,Medium
ACM ICPC Team,Easy
Taum and B'day,Easy
Organizing Containers of Balls,Medium
Encryption,Medium
Bigger is Greater,Medium
Modified Kaprekar Numbers,Easy
Beautiful Triplets,Easy
Minimum Distances,Easy
The Time in Words,Medium
Chocolate Feast ,Easy
Service Lane,Easy
Lisa's Workbook,Easy
Flatland Space Stations,Easy
Fair Rations,Easy
Cavity Map,Easy
Manasa and Stones,Easy
The Grid Search,Medium
Happy Ladybugs,Easy
Strange Counter,Easy
Absolute Permutation,Medium
The Bomberman Game,Medium
Ema's Supercomputer,Medium
Larry's Array,Medium
Almost Sorted,Medium
Matrix Layer Rotation ,Hard
