problem,difficulty
Super Reduced String,Easy
CamelCase,Easy
Two Characters,Easy
Caesar Cipher,Easy
Mars Exploration,Easy
HackerRank in a String!,Easy
Pangrams,Easy
Weighted Uniform Strings,Easy
Separate the Numbers,Easy
Funny String,Easy
Gemstones,Easy
Alternating Characters ,Easy
Beautiful Binary String,Easy
The Love-Letter Mystery,Easy
Determining DNA Health,Hard
Palindrome Index,Easy
Anagram,Easy
Making Anagrams,Easy
Game of Thrones - I,Easy
Two Strings,Easy
String Construction ,Easy
Sherlock and the Valid String,Medium
Richie Rich,Medium
Sherlock and Anagrams,Medium
Common Child,Medium
Bear and Steady Gene,Medium
Count Strings,Hard
String Function Calculation,Advanced
Build a Palindrome,Advanced
Build a String,Hard
Gridland Provinces,Hard
Ashton and String,Advanced
Super Functional Strings,Advanced
Circular Palindromes,Advanced
Similar Strings,Advanced
Two Two,Advanced
