problem,difficulty
Points On a Line,Easy
Rectangular Game,Easy
Sherlock and Counting,Easy
Sherlock and Planes,Easy
Circle City,Medium
Xrange's Pancakes,Easy
Spheres,Medium
Baby Step, Giant Step,Medium
Points on a Rectangle,Easy
A Circle and a Square,Medium
Jim Beam,Hard
Hyperspace Travel ,Medium
Solve Equations,Medium
Stars,Medium
Polar Angles,Medium
Sherlock and Geometry,Advanced
Good Point,Hard
Polygons,Hard
Polygon,Hard
Meeting Point,Hard
House Location,Hard
Jim and the Challenge,Medium
The Letter N,Advanced
Best Sum,Advanced
Geometry Queries,Advanced
Count Triangles,Advanced
Isosceles Triangles,Hard
