problem,difficulty
Find the Point,Easy
Maximum Draws,Easy
Handshake,Easy
Minimum Height Triangle,Easy
Army Game,Easy
Leonardo's Prime Factors,Easy
Connecting Towns,Easy
Cutting Paper Squares,Easy
Summing the N series ,Medium
Sherlock and Moving Tiles,Easy
Best Divisor,Easy
Restaurant,Easy
Reverse Game,Easy
Strange Grid Again,Easy
Diwali Lights,Medium
Sherlock and Divisors,Easy
Sherlock and Permutations,Hard
Even Odd Query,Hard
Special Multiple,Medium
Matrix Tracing,Hard
Die Hard 3,Medium
Halloween party,Easy
Filling Jars,Easy
Is Fibo,Medium
K Candy Store,Medium
Sumar and the Floating Rocks,Easy
Russian Peasant Exponentiation,Easy
Bus Station,Medium
Most Distant,Easy
Jim and the Jokes,Medium
Possible Path,Easy
Mutual Recurrences,Medium
